Åìî‘çÜ,ÅFéÊìæì˙ïtÅiêÌó™ï™êÕópÅj,ÅñéÊìæì˙ïtÅiÉOÉâÉtópÅj,Åìè§ïiñº,ÅñAmazonéÊÇËàµÇ¢äJénì˙,Åìèoïié“,Åìè§ïiè⁄ç◊URL,Åìèdï°,ÅìçÄî‘,ÅìêØ,É^ÉCÉgÉã,Åììäçeé“,ÅñÉåÉrÉÖÅ[ì˙ït,ÉåÉrÉÖÅ[ì‡óe
342,2017/04/05 21:44:21,2017/4/5,"Trends UK Haynes Build Your Own V8 Engine",,"Haynes",https://www.amazon.com/Trends-Haynes-Build-Your-Engine/dp/B00GJYE0S4/ref=sr_1_21?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-21&keywords=model,0,16,1,"Incomplete!","Kay Jay",2017/02/20,"Parts missing. Very unhappy nephew!"
343,2017/04/05 21:44:22,2017/4/5,"Trends UK Haynes Build Your Own V8 Engine",,"Haynes",https://www.amazon.com/Trends-Haynes-Build-Your-Engine/dp/B00GJYE0S4/ref=sr_1_21?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-21&keywords=model,0,17,1,"After spending hours of assembly, we found the electric ...","e. olsen",2015/04/05,"After spending hours of assembly,we found the electric motor which turns the engine was defective.there is no tel number to contact for defects in the model."
344,2017/04/05 21:44:22,2017/4/5,"Trends UK Haynes Build Your Own V8 Engine",,"Haynes",https://www.amazon.com/Trends-Haynes-Build-Your-Engine/dp/B00GJYE0S4/ref=sr_1_21?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-21&keywords=model,0,18,2,"Not worth $70","Tara",2016/10/07,"It's cool but kind of over priced. Once i got it together it didn't run smooth due to the plastic parts it was made of. I would say that it would be worth spending the $70 of it were better quality parts. The whole thing doesn't need to be metal but maybe the pistons, crank shaft and block. Then this baby would purr like a kitten."
345,2017/04/05 21:44:22,2017/4/5,"Trends UK Haynes Build Your Own V8 Engine",,"Haynes",https://www.amazon.com/Trends-Haynes-Build-Your-Engine/dp/B00GJYE0S4/ref=sr_1_21?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-21&keywords=model,0,19,1,"Worst 60$ i have ever spent","Austin",2016/12/13,"Worst 60$ i have ever spent. the timing chain was way too loose, And the timing cover doesn't match up with the screw holes! spent 7 hours on this piece of crap!"
346,2017/04/05 21:44:22,2017/4/5,"Trends UK Haynes Build Your Own V8 Engine",,"Haynes",https://www.amazon.com/Trends-Haynes-Build-Your-Engine/dp/B00GJYE0S4/ref=sr_1_21?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-21&keywords=model,0,20,1,"One Star","George Bernard",2017/03/17,"Junk - I threw it away."
347,2017/04/05 21:44:34,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,1,4,"Good Catapult, fun to play with","Kevin London",2016/05/19,"My 9 year old, easily put together the model by himself and it didn't take long. Shoots pretty far. Great school project if you have a Leonardo Da Vinci project :)

It can be a bit tough to launch with the string, I took some fine grained sand paper and sanded the block that stops the catapult from firing (where it hooks up to the cog wheel) so it was nice and smooth. Then I took some paste wax and waxed that portion as well. Shoots much smoother after that."
348,2017/04/05 21:44:34,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,2,5,"Fun catapult toy","Loring C",2017/03/02,"I had fun with this little toy. The parts were well machined and fit together well and even came with glue.
Be careful, some of the parts are very similar and easily confused and if you glue them together its not coming undone.
Oddly the parts are all inch and fraction dimensioned and all the instructions call them by their metric values. - like it was designed and made in the US but with instructions written for metric users.
I didn't use the clay - I was afraid it might leave greasy marks around. I found the best ""ammo"" to be some aluminum foil balls crumpled up tight to be about 1"" in diameter or a little larger. It shot about 15-20 feet. good for a family room or long hallway.
Grandkids 2 and 5 played with it some. It was accurate so I could hit them square in the chest repeatedly and they loved that,
They had trouble shooting it because the unit is light and you have to hold it down while pulling the release."
349,2017/04/05 21:44:34,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,3,5,"It really works, and my kid loved it.","Ragabash",2016/09/12,"Birthday present for my 10-yr-old son. He loved it. It will shoot a marble-sized ball of playdough across the room.
Just be careful assembling, the instructions are clear but it is possible to put parts on wrong and once they are glued you have to be creative to fix it.
It really works!"
350,2017/04/05 21:44:35,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,4,5,"Kid approved.","Mark T.",2017/03/20,"I bought this for my 7 year old daughter. She helped me build it and was pleased when it actually threw a clay ball across the kitchen. After adjusting the strings, we could get a pebble to fly across the street.

I recommend this kid for kids and adults alike. It's an easy build. Including glue and sandpaper, nothing else is needed to assemble this working model"
351,2017/04/05 21:44:35,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,5,5,"Gift","Robert R.",2014/01/25,"Purchased as a gift, this item was assembled and used by the receipient. He (and his friends at work enjoyed it immensely."
352,2017/04/05 21:44:35,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,6,5,"Works well. Clear Instructions.","douwe",2017/03/10,"Came with clear instruction. Works well. Comes with glue to glue the pieces together. Without glue it would just fall apart."
353,2017/04/05 21:44:35,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,7,5,"Cool!","Bfastattiffanys7",2017/02/10,"This was a big hit with my non-year-old. Not only did he love putting it together, he plays with it for hours."
354,2017/04/05 21:44:35,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,8,1,"Waste of money","mother of 2 girls",2017/03/06,"Instructions were difficult to understand and pieces were flimsy"
355,2017/04/05 21:44:35,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,9,5,"Cool desk Toy","Joe",2016/12/07,"Great little (toy). Not really a toy. But a fun easy to out togwether desk toy."
356,2017/04/05 21:44:35,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,10,5,"Five Stars","N. Bruce",2016/08/26,"Purchased for grandson's birthday. Mom says he loves it."
357,2017/04/05 21:44:39,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,11,5,"Great present.","Review",2017/01/18,"Fun and easy to assemble."
358,2017/04/05 21:44:39,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,12,5,"Five Stars","Amazon Customer",2017/03/27,"works and everything"
359,2017/04/05 21:44:39,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,13,5,"Really wonderful","Joan E Williams",2013/08/17,"My grandson saw this at a Da Vinci Machine Exhibit and wanted it badly. Luckily they were out, because it was a much better price from Amazon!! He assembled it and was thrilled with it, even though his dad had a different style catapult that beat the da Vinci model."
360,2017/04/05 21:44:40,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,14,4,"Cool design, doesn't shoot very far","June K.",2014/04/02,"The engineering of it is the cool part. It does not shoot very far. I would buy again based on the finished look and learning process from building it."
361,2017/04/05 21:44:40,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,15,5,"Grandkids love it!","Linda Warren",2016/05/06,"Bought for my 9-year-old grandson. He and his 7-year-old sister put it together in 45 minutes and have had a ball catapulting everything they can find, both inside and outdoors. I love buying toys that make the kids think but are still a lot of fun, and this one definitely did both!"
362,2017/04/05 21:44:40,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,16,5,"Fun to build and play with","AB",2016/01/18,"Fun and easy to build. Like others have said, it doesn't shoot far but that is because it's an inefficient design. When your kid finally finds the limits of the machine, you can explorer better designs with them. I love that it isn't trying to go as far as possible and it's easy to see how it works."
363,2017/04/05 21:44:40,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,17,5,"Nephew loved it!!!!","Joana Thorpe",2014/03/15,"My nephew LOVED it! He had a lot of fun putting it together, and it arrived here fast. A few parts were missing on the first one we ordered, but, Amazon took care of the problem, and saved the day!!! Thank you Amazon!!!! This product was a hit!!!"
364,2017/04/05 21:44:40,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,18,5,"liked them a lot","J. Ray",2015/11/20,"It works as-is. I bought and built two. Everyone I've showed them to, liked them a lot.

I built the first one with some modifications.
1. I used wood glue instead of the included white glue.
2. I used thin hemp twine instead of the included white twine.
3. I sealed the wood with Tung oil after assembly. Doing this after assembly is required because the glue will not hold otherwise.
4. I moved the loop on the holding-chock to the top, away from the axis of movement. This made it easier to pull the cable.

I built the second one with the modifications of the first.
1. I sanded the wood to make it smoother. The sand paper included is tiny, so extra is needed for this.
2. I stained the wood with a light color (Minwax Golden Oak) and let it dry before assembly.
3. I applied graphite to the axles where they spin in the wood. I used woodless graphite 8B pencils. This worked far better than graphite powder."
365,2017/04/05 21:44:40,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,19,3,"Good quality and customer service, but missed out in packaging","A. Ramanath",2016/03/03,"It is nicely a done piece. My kids put it together w/o any supervision. However, it was missing one piece - the stopper which arrests the swing of the catapult. We were using it for a science fair and we had to improvise. When we called them they were very understanding and immediately shpped the missing piece. But, it arrived 2 weeks later, that is after the science fair was all done and forgotten.

I still appreciate their great customer service attitude but in the end it was a poor effort."
366,2017/04/05 21:44:40,2017/4/5,"Leonardo da Vinci Catapult Kit",,"Pathfinders",https://www.amazon.com/Leonardo-da-Vinci-Catapult-Kit/dp/B00CWMXU88/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-22&keywords=model,0,20,4,"Nice catapult!","Verified Shopper",2017/01/08,"Bought this for my son to build. Although he managed to build it, he made some mistakes since some blocks look exactly the same but is just slightly different such as a hole in it mount at a certain way. The instructions could be a little clearer I guess. But I managed to fix his mistakes and it turned out great. Great for shooting paper balls too!"
367,2017/04/05 21:44:54,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,1,5,"For Experienced Modelers.","DnASoup",2015/11/18,"You can never go wrong with a Revell kit. I've been building them for over 50 years. This 1:96 model is very well made. The molds are getting on with age so expect a bit extra flashing here and there. Always have tons of sharp #11 Exacto blades on hand as well as ALL of your 'TINY' tools ready. TOOL-UP before hand if needed. Be sure to get some Beeswax for the rigging. High precision glue tips are a must. Micro drill bits and a pin vise are a must also. I use many different kinds of tweezers and clips to act as a third and fourth hands. Your work space should be at least 4'x6' for this kit, well lit, and with movable intense lighting. Magnification of all kinds will make assembly a pleasure. Most important, keep your work space clean, and be very patient. Sometimes all you can do is glue two or three things, then you must wait for at least a day for the glue to set 'hard'. Take advantage of your ""Off Time"" and read ahead in your instruction books. You can always paint something. Have fun, be professional, and proud."
368,2017/04/05 21:44:54,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,2,5,"Great ship!","Amazon Customer",2016/12/14,"First time I ever did a model ship. Took me 3 weeks, not including the sails. My next model will be wooden, though!

Used Hammered Copper spray for the bottom and stand. Found a small shelf the right size for the stand and drilled out the logical holes in the hull and attached with couplings. I think this looks so much better than the included stand.

At 62 (woman at that!) I had to use a magnifier. Found this one on Amazon that worked perfectly (after a few adjustments, of course.)SE MH1047L Illuminated Multi-Power LED Head Magnifier

Thank you, Michael Larson, for suggesting to glue and winch the lower deck. This worked perfectly! (and probably saved me undue frustration).

The front rail was too flimsy and disintegrated before I could assemble it. Made my own railing out of wire.

I used wood stain on the deck to give it a more natural color. Looks more like wood.

The u sections of the railing were equally flimsy. Had to make half out of wire again. And many of the ones that made it during the roping broke during the rest of the construction. Perhaps one should replace these with a metal part.

There were not enough eyebolts. Had to buy brass ones.

The manual was a little off in places. Found myself having to put eyebolts in very hard to put places after the fact. Maybe read the rigging manual before to see if all the bolts are in place.

My boyfriend loves how it looks and now it displays beautifully in our living room."
369,2017/04/05 21:44:55,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,3,4,"Pros & Cons","NightRider",2012/11/17,"This is a very nice kit. Lots of detail and most of the parts fit well. However, I was very disappointed when it came time to install the upper main decks (part numbers 36,37,38). After gluing up the two hull halves I installed the three lower gun decks (part numbers 18,15,14) with no problems...snug and tight they were, but it worked. Later in the assembly, as I was attempting to install the three upper main decks, I found the upper part of the hull was too wide for a good fit. In other words, there was a heck of a gap around the edges of the decks. After a lot of time and work I fixed the problem, but I think with a little planning the problem could be avoided should I build another one.
At the very beginning, when gluing up the hull, I would run a narrow bead of 15 minute epoxy the entire length and then apply my clamps. Now, I would temporarily install the three upper decks into the upper part of the hull,(you can pop them back out when done) to ensure a good fit against the waterway. Hold or bar clamp the hull halves together until the epoxy has set up. I should think once done the lower gun decks will fit equally well, and if not, they are much easier to remedy. Keeping in mind, the whole process is to ensure a good fit of the upper main decks, which of course is what everyone will see once you're done. I hope this helps other modelers."
370,2017/04/05 21:44:55,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,4,5,"COOL SHIP TO BUILD","ZEE10103",2015/03/15,"GREAT PROJECT, ABOUT 6 WEEKS TO COMPLETE. ADDED MORE PHOTOS."
371,2017/04/05 21:44:55,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,5,5,"USS Constitution","D. R. Johnson",2011/06/17,"I almost built this ship in 1980 but gave up on it. I bought it again this year and am working slowly because that is how you have to do it This is absolutely the most difficult plastic model sailing ship ever made. Be sure to search online for building tips because there is a lot of help out there.

I have used superglue only on this ship - believe me, nothing else is good enough. I think I will throw out the plastic sails and make my own from linen.

I am 52 years old - I use glasses and magnifiers for everything I do with this model - painting, gluing, tying the rigging.

If you love a real challenge, take this one on!"
372,2017/04/05 21:44:55,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,6,5,"Solution for upper deck fitting.","Michael Larson",2015/04/28,"Once you are sure you will not need to access the lower hull, i.e. Rudder rope assembly, GLUE the entire gun deck to the hull and winch it tight. Even though it says not to glue. Just do it. After 12 hours of glue set, 36,37,38 fit perfectly. See photo."
373,2017/04/05 21:44:55,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,7,5,"Great Fun For Winter","Roselover",2009/10/17,"I bought this ship for myself, as it's going to be winter soon, and I needed something to do inside to keep busy. I had tried this exact ship many years ago and had two cats at the time who kept stealing my parts. So maybe this time I can complete it. I have just begun and it is time consuming and very intricate work so it makes for a great long term project. I'm sure it will turn out beautiful. Some of the tags on this item are incorrect: It is not a ""Disneyland Ship"", nor is it a ""Pirate Ship"". It is an Historical Ship that still exists, retired of course."
374,2017/04/05 21:44:55,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,8,5,"Older Modeler","Michael N. DeMers",2009/10/20,"I built this kit over 30 years ago and the quality still remains as high as ever. Revell is a master at creating quality, detailed plastic model kits. The plastic sails were crushed a bit by the newer packaging (an attempt unfortunately to prevent this exact thing). Given I don't use the sails, preferring the rigging, it was not a problem for me. I'd recommend this kit for anyone who enjoys building 16th century model ships but hasn't the patience nor the funds for the museum quality wood kits."
375,2017/04/05 21:44:55,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,9,1,"Cheap Production, look for an older production kit...","Michael S. Skokauckas",2016/05/05,"Junk. Plain and simple. The quality of the molds is pathetic. Warped hull halves, decks, masts, etc... Not to mention the new molding and plastic formula used in the production of this kit is so cheap it's not worth the hassle. Save your money, go onto ebay and search for a pre 1970's version of this kit. You will pay more for it in the long run...but the quality and fit of the parts of the older kits are a billion times better then this current production run. Revell went cheap on this current run of the 1/96 scale USS CONSTITUTION. Be warned. I have been building models for over 20 years and have never seen a kit so cheapened by cost cutting measures. Look for an older 1/96 scale kit and you will be much better off."
376,2017/04/05 21:44:56,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,10,5,"HER KEELS BENT AND SHE'S SAGGING AT THE WAIST SHE STILL A FINE SAILING LADY","speed racer",2015/01/14,"AHOY THERE YOU SALTY DOGS, I GIVE THIS SHIP A FIVE STAR RATEING. IT IS VERY DETAILED WHICH SHOULD KEEP ANY SCALLYWAG INTERESTED. ALTHOUGH HER HULES WARPED, HER KEELS BENT AND SHE'S SAGGING AT THE WAIST SHE STILL A FINE SAILING LADY.FULL SPEED AHEAD,DAMN THE TORPEDO'S"
377,2017/04/05 21:45:00,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,11,5,"Very nice looking. In process still","Laura Forgey",2017/03/11,"Very nice looking. In process still. Lots of work, but if you take your time, the reward will be worth the effort!"
378,2017/04/05 21:45:00,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,12,5,"AWESOME","Gilman",2017/03/12,"AWESOME"
379,2017/04/05 21:45:00,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,13,1,"Strap broke","Chris Alberto",2017/04/04,"This was a Christmas gift and my son used it for one week and the strap broke. Can we exchange this for a new bag ."
380,2017/04/05 21:45:00,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,14,1,"Bad parts","R. Campbell",2015/03/08,"This it the 3rd (or was) Constitution I've built. I was excited to get Started. Problem: I will not be able to finish this project because of the poor quality of the hull. To my shock, when I went to lay the top deck, the pieces were 1 to 2 inches too Narrow. TOO NARROW! Needless to say all the work, money (especially money) is down the drain. This company has lost a loyal customer!"
381,2017/04/05 21:45:00,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,15,1,"disappointed","Gabor",2014/04/03,"i was excited to get this model kit. packaging and material is great. instructions are easy to follow.
however, it looks like i will not be able to finish this project because of the poor quality of the hull. i had trouble glueing it together because of the half an inch gap at the bottom. strong glue made it work but now the top is too far apart and there is a huge gap when trying to put on the deck. this basically renders this model kit useless.

the details and everything is great. it is a shame i have to abandon it now. a lot of money lost as well as time i already put into it before realizing this."
382,2017/04/05 21:45:00,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,16,1,"I would like a free new Constitution sent to me !","DAVID",2016/12/15,"I have bought three USS constitutions from you. No complaints until the third one. Apparently the two sides of the hull are warped. Of which I did not noticed until I started putting together the second top deck. The three pieces would not lineup together. I had to tie the sides through the gun ports and through every hole in the decks, and use GORILLA SUPER GLUE to get the decks to stay together. Now I am finding more part that are not correct. I would appreciate it if you would consider sending another USS Constitution at no charge ? I no longer have the box you sent it in, but I will send this USS Constitution back to you in the box you sent me if you want to see it. I am sixty-four years old and have bin making models for a wile. After this Constitution I will make the Revell 1/96 Cutty Sark Revell 1/96 scale model. Which I will probley get form you if you have it.--2nd time Iam sending this . I would like yoy to answer it!
 Thank you DAVID EWALD avault1@charter.net"
383,2017/04/05 21:45:01,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,17,5,"The model is everything we thought it would be.","C. Bobo",2010/06/05,"I bought this as a gift for my husband and he has worked on the model everyday since he received it and loves it."
384,2017/04/05 21:45:01,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,18,5,"USS Constitution Sails Again","Robert Thompson",2016/02/20,"If you love building models and have time and patience, this is the model for you! This is my second time around building the same scale model. The first time was way back in my younger years. Flash forward many moons to present day, I wanted the challenge again of building this model. Make sure you have the right tools to build this model: Hobby knife, magnifier, sand paper, hobby glue, bees wax, pair of tweezers, rubber bands, clips, and of course paint. I would also recommend toothpicks to help with glue management. I spread a little glue on wax paper, dip the tip of the toothpick into the glue and place that on pieces/part to fuse together. Also different sized paint brushes, (some of the areas are really really small that needs to be detailed). Have notice the tread spools are now color coded to help with what type to use for the rigging.

Revell does give you the option to build your model a couple ways. And for those that are really into model building, you can make some of your own changes to enhance the ship. Have fun, but have patience. Tie, glue and let set before moving on.

This isn't a model that you can rush through and expect it to look good. This will take time and patience. Tie this, glue that let it set."
385,2017/04/05 21:45:01,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,19,5,"A challenging model that yields terrific results","Jeffrey Getzin",2016/04/10,"I used to put together models as a kid, but they always turned out like crap. You know, no patience. But now that I'm older, I thought I'd give it another go.

This model is listed at their highest level of difficulty, and justifiably so. You have to do a lot of tricky painting, and more than that, boy, will you ever be tying tiny knots! Wow, they really have me cursing on some days.

However, the results are looking awesome. The model is very detailed, and seems to be well-thought out. The instructions are actually readable (for the most part), and they offer useful tips. The most important tip they offer is to USE THE RIGHT TOOLS. This is not something you can just snap together in a couple of hours. This is a model that will take painstaking patience and detail over the course of WEEKS or MONTHS to assemble and finish. I'm not done yet, but I love how it's turning out!"
386,2017/04/05 21:45:01,2017/4/5,"Revell 1:96 USS Constitution",,"Revell",https://www.amazon.com/Revell-1-96-USS-Constitution/dp/B0006I8PP8/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-23&keywords=model,0,20,5,"All of which are easily accomplished with time and patience","T. F. Maxwell",2015/08/22,"If you plan to build this model kit, and you want it to be a work of art (and it can be one), plan to spend 9 months to a year on it. I have built six of them and am about to start my seventh. The parts have flash and pin marks which will need to be addressed but this is to be expected on a kit of this age. Any experienced model builder will surely take this in stride.

It is the addition of extras that brings the Revell Constitution to life. Real copper foil on the hull, replacing the plastic belaying pins with turned brass ones, full gun rigging, robands for the sails, real wooden decks, jackstays, etc. All of which are easily accomplished with time and patience. I have seen many finished kits that look like completed plastic models and I have seen finished kits that look like the real ship seen from a distance.

The 1/96 scale Revell Constitution, like anything in life, is what you make it."
